fighter,elo,record
Scott Morris,1505.7397442009567,"{'March 11, 1994': {'opponent': 'Patrick Smith', 'result': 0}}"
Sean Daugherty,1470.939003057951,"{'March 11, 1994': {'opponent': 'Scott Morris', 'result': 0}}"
Patrick Smith,1592.337254393984,"{'March 11, 1994': {'opponent': 'Royce Gracie', 'result': 0}, 'July 14, 1995': {'opponent': 'Rudyard Moncayo', 'result': 1}}"
Ray Wizard,1470.939003057951,"{'March 11, 1994': {'opponent': 'Patrick Smith', 'result': 0}}"
Johnny Rhodes,1529.5158652946793,"{'March 11, 1994': {'opponent': 'Patrick Smith', 'result': 0}}"
David Levicki,1470.939003057951,"{'March 11, 1994': {'opponent': 'Johnny Rhodes', 'result': 0}}"
Orlando Wiet,1502.939003057951,"{'March 11, 1994': {'opponent': 'Remco Pardoel', 'result': 0}}"
Robert Lucarelli,1470.939003057951,"{'March 11, 1994': {'opponent': 'Orlando Wiet', 'result': 0}}"
Remco Pardoel,1529.1991430959931,"{'March 11, 1994': {'opponent': 'Royce Gracie', 'result': 0}, 'September 08, 1995': {'opponent': 'Marco Ruas', 'result': 0}}"
Alberta Cerra Leon,1470.939003057951,"{'March 11, 1994': {'opponent': 'Remco Pardoel', 'result': 0}}"
Jason DeLucia,1471.1063842387564,"{'March 11, 1994': {'opponent': 'Royce Gracie', 'result': 0}, 'November 19, 1999': {'opponent': 'Joe Slick', 'result': 0}}"
Scott Baker,1470.939003057951,"{'March 11, 1994': {'opponent': 'Jason DeLucia', 'result': 0}}"
Royce Gracie,1659.62059952538,"{'March 11, 1994': {'opponent': 'Patrick Smith', 'result': 1}, 'September 09, 1994': {'opponent': 'Kimo Leopoldo', 'result': 1}, 'December 16, 1994': {'opponent': 'Dan Severn', 'result': 1}, 'April 07, 1995': {'opponent': 'Ken Shamrock', 'result': 0.5}, 'May 27, 2006': {'opponent': 'Matt Hughes', 'result': 0}}"
Frank Hamaker,1532.0,"{'March 11, 1994': {'opponent': 'Thaddeus Luster', 'result': 1}}"
Thaddeus Luster,1470.939003057951,"{'March 11, 1994': {'opponent': 'Frank Hamaker', 'result': 0}}"
Minoki Ichihara,1473.7397442009567,"{'March 11, 1994': {'opponent': 'Royce Gracie', 'result': 0}}"
Fred Ettish,1473.5612814962624,"{'March 11, 1994': {'opponent': 'Johnny Rhodes', 'result': 0}}"
Keith Hackney,1525.73254274258,"{'September 09, 1994': {'opponent': 'Emmanuel Yarborough', 'result': 1}, 'December 16, 1994': {'opponent': 'Royce Gracie', 'result': 0}, 'December 16, 1995': {'opponent': 'Marco Ruas', 'result': 0}}"
Emmanuel Yarborough,1470.939003057951,"{'September 09, 1994': {'opponent': 'Keith Hackney', 'result': 0}}"
Ken Shamrock,1557.5449180754238,"{'September 09, 1994': {'opponent': 'Felix Lee Mitchell', 'result': 1}, 'April 07, 1995': {'opponent': 'Royce Gracie', 'result': 0.5}, 'July 14, 1995': {'opponent': 'Dan Severn', 'result': 1}, 'September 08, 1995': {'opponent': 'Oleg Taktarov', 'result': 0.5}, 'February 16, 1996': {'opponent': 'Kimo Leopoldo', 'result': 1}, 'May 17, 1996': {'opponent': 'Dan Severn', 'result': 0}, 'December 07, 1996': {'opponent': 'Brian Johnston', 'result': 1}, 'November 22, 2002': {'opponent': 'Tito Ortiz', 'result': 0}, 'June 19, 2004': {'opponent': 'Kimo Leopoldo', 'result': 1}, 'April 09, 2005': {'opponent': 'Rich Franklin', 'result': 0}, 'July 08, 2006': {'opponent': 'Tito Ortiz', 'result': 0}, 'October 10, 2006': {'opponent': 'Tito Ortiz', 'result': 0}}"
Christophe Leninger,1447.9931387489314,"{'September 09, 1994': {'opponent': 'Ken Shamrock', 'result': 0}, 'May 30, 1997': {'opponent': 'Guy Mezger', 'result': 0}}"
Harold Howard,1468.6277275010286,"{'September 09, 1994': {'opponent': 'Steve Jennum', 'result': 0}, 'September 08, 1995': {'opponent': 'Mark Hall', 'result': 0}}"
Roland Payne,1470.939003057951,"{'September 09, 1994': {'opponent': 'Harold Howard', 'result': 0}}"
Kimo Leopoldo,1473.0938476001868,"{'September 09, 1994': {'opponent': 'Royce Gracie', 'result': 0}, 'February 16, 1996': {'opponent': 'Ken Shamrock', 'result': 0}, 'December 07, 1996': {'opponent': 'Paul Varelans', 'result': 1}, 'March 13, 1998': {'opponent': 'Tsuyoshi Kohsaka', 'result': 0}, 'June 06, 2003': {'opponent': 'David Abbott', 'result': 1}, 'June 19, 2004': {'opponent': 'Ken Shamrock', 'result': 0}}"
Felix Lee Mitchell,1473.5612814962624,"{'September 09, 1994': {'opponent': 'Ken Shamrock', 'result': 0}}"
Steve Jennum,1547.8823074038085,"{'September 09, 1994': {'opponent': 'Harold Howard', 'result': 1}, 'December 16, 1994': {'opponent': 'Melton Bowen', 'result': 1}, 'December 16, 1995': {'opponent': 'David Abbott', 'result': 0}}"
Dan Severn,1626.831478936665,"{'December 16, 1994': {'opponent': 'Royce Gracie', 'result': 0}, 'April 07, 1995': {'opponent': 'Dave Beneteau', 'result': 1}, 'July 14, 1995': {'opponent': 'Ken Shamrock', 'result': 0}, 'December 16, 1995': {'opponent': 'David Abbott', 'result': 1}, 'May 17, 1996': {'opponent': 'Ken Shamrock', 'result': 1}, 'February 07, 1997': {'opponent': 'Mark Coleman', 'result': 0}, 'September 22, 2000': {'opponent': 'Pedro Rizzo', 'result': 0}}"
Marcus Bossett,1470.939003057951,"{'December 16, 1994': {'opponent': 'Dan Severn', 'result': 0}}"
Joe Son,1473.5612814962624,"{'December 16, 1994': {'opponent': 'Keith Hackney', 'result': 0}}"
Guy Mezger,1569.8843795377372,"{'December 16, 1994': {'opponent': 'Jason Fairn', 'result': 1}, 'April 07, 1995': {'opponent': 'John Dowdy', 'result': 1}, 'May 30, 1997': {'opponent': 'Tito Ortiz', 'result': 1}, 'March 05, 1999': {'opponent': 'Tito Ortiz', 'result': 0}}"
Jason Fairn,1470.939003057951,"{'December 16, 1994': {'opponent': 'Guy Mezger', 'result': 0}}"
Ron van Clief,1482.4438813613945,"{'December 16, 1994': {'opponent': 'Royce Gracie', 'result': 0}}"
Melton Bowen,1473.7397442009567,"{'December 16, 1994': {'opponent': 'Steve Jennum', 'result': 0}}"
